"nome","autores","imagem","link_amazon","link_comix","link_comicboom","link_monstra","link_ugra"
"A menina do outro lado","Nagabe","https://m.media-amazon.com/images/I/61KAOIdkZ7L._AC_UL640_FMwebp_QL65_.jpg","https://amzn.to/3LSMkVs","","","",""
"Jeremias, o Bom","Ziraldo","https://m.media-amazon.com/images/I/71wYa6uFlsL._SY522_.jpg","https://www.amazon.com.br/Jeremias-Bom-Ziraldo-Alves-Pinto/dp/8506038324/ref=sr_1_1","","https://comicboom.com.br/produto/jeremias-o-bom/","",""
"Como Pedra","Luckas Iohanathan","https://m.media-amazon.com/images/I/91M9D6oltXL._SY522_.jpg","https://amzn.to/40lUls0","","","",""
"Sakura Card Captor","CLAMP","https://m.media-amazon.com/images/I/61abK7S13-L._AC_UL640_FMwebp_QL65_.jpg","https://amzn.to/3QxSwos","","","",""
"Surfista Prateado - Par?bola","Stan Lee, Moebius","https://m.media-amazon.com/images/I/617NtoILk2L._AC_UL640_FMwebp_QL65_.jpg","https://amzn.to/3Q7HK6R","","","",""
"Quadrinhos sobre a Palestina","","https://m.media-amazon.com/images/I/61qcAxc0N8L._AC_UL640_FMwebp_QL65_.jpg","https://amzn.to/3tEo9Uw","","","",""
"Julia Kendall","Giancarlo Berardi, Dorival Vitor Lopes","https://m.media-amazon.com/images/I/81qGN6V92mL._AC_UL640_FMwebp_QL65_.jpg","https://amzn.to/3PSr2JH","","","",""
"Os devoradores de vidas","David Brin (Autor), Scott Hampton (Ilustrador)","https://m.media-amazon.com/images/I/51b4D++NN+L._SY445_SX342_.jpg","https://amzn.to/3F9wamV","","","",""
"Ripple: A Predilection for Tina","Dave Cooper ","https://m.media-amazon.com/images/I/71-6Xe0sWhL._SY522_.jpg","https://amzn.to/3rwcBlf","","","",""
"Confinada","Leandro Assis, Triscila Oliveira","https://m.media-amazon.com/images/I/91lHezg7MeL._SY522_.jpg","https://amzn.to/3PDvwDU","","","",""
"Juiz Dredd Omnibus Vol. 2: Os casos completos","John Wagner (Autor), Pat Mills (Autor), Chris Lowder (Autor), Brendan Mccarthy (Ilustrador), Mike McMaahon (Ilustrador), Brett Ewins (Ilustrador), Brian Bolland (Ilustrador), Dave Gibbons (Ilustrador), Garry Leach (Ilustrador), Ron Smith (Ilustrador)","https://m.media-amazon.com/images/I/51yf28-yt8L._SY522_.jpg","https://amzn.to/3PASxY5","","","",""
"Death Note","Tsugumi Ohba e Takeshi Obata","https://m.media-amazon.com/images/I/612x+rQ0yJL._AC_UL640_FMwebp_QL65_.jpg","https://amzn.to/3sC9aK9","","","",""
